title,price,rating,amenities,numero_registro,Dormitorio,reviews,Bedroom,Dormitorio 1,Dormitorio 2
acogedor dormitorio,32 € ,"4,52 (21)","['Bañera', 'Secador de pelo', 'Champú', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Ropa de cama', 'Plancha', 'Libros y material de lectura', 'Aire acondicionado centralizado', 'Cerradura en la puerta del dormitorio', 'Wifi', 'Zona para trabajar', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Congelador', 'Cocina eléctrica', 'Mesa de comedor', 'Patio o balcón', 'Ascensor', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Servicios básicos', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Calefacción']","['Anfitrión particular', 'Número de registro: Exempt']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Mahmoud fue un anfitrión muy acogedor y servicial. ¡Disfruté de mi estancia y se la recomendaría a otros! También fue muy fácil acceder al centro de la ciudad y a varios museos desde esta ubicación utilizando los trenes.'}, {'rating': 'Valoración: 3\xa0estrellas', 'date': 'Valoración: 3\xa0estrellas,  · Hace 3 semanas', 'review': 'La habitación se ajustaba a mis necesidades con acceso a la cocina y al baño'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'He tenido una estancia muy agradable. ¡Definitivamente repetiré!'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · septiembre de 2024', 'review': 'Barrio tranquilo, agradable pareja anfitriona con la que fue servicial y fue fácil alojarse.'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · septiembre de 2024', 'review': 'Pasé 2 noches en el apartamento de Mahmoud y, en general, la relación calidad-precio era buena. Conseguí las llaves y pude ir y venir a cualquier hora del día. No hacer ruido después de la medianoche, pero este es un requisito absolutamente justo. Mahmoud también me permitió aparcar mi bicicleta en la habitación. Me sentí solo en mi habitación y pude cerrar con llave si quería. La desventaja es que el baño no está en las mejores condiciones. Pero eso no me importaba porque solo vine a pasar la noche.'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · septiembre de 2024', 'review': 'El anfitrión y su esposa era muy servicial y receptivo parcelas ideal la habitación limpia excepto el baño estaba llena de pelo'}]",,,
Habitación doble canapé visco,47 € ,"4,44 (9)","['Secador de pelo', 'Lavadora', 'Secadora', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Mosquitera', 'Espacio para guardar la ropa', 'TV', 'Equipo para hacer ejercicio', 'Cerradura en la puerta del dormitorio', 'Detector de humo', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Botiquín', 'Wifi', 'Zona para trabajar', 'Cocina', 'Acceso a la playa, primera línea', 'Cocina exterior', 'Bicicletas', 'Kayak', 'Aparcamiento de pago en las instalaciones', 'Apto para fumadores', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: Aire acondicionado', 'No disponible: Calefacción', 'No disponible: Agua caliente']","['Anfitrión particular', 'Número de registro: Exempt']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3\xa0días', 'review': 'Muy buena ubicación y súper bien conectado con el subterráneo y bus. Aprox a 10 minutos de las zonas turísticas ( con el subterráneo). Alrededor también hay supermercados y bares-restaurantes a buen precio. Mario atento y amable al recibirnos y siempre estuvo en contacto. Gracias'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 1 semana', 'review': 'Mario una persona muy agradable, el alojamiento estaba muy bien pero un pco sucio el baño'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'Anfitrión muy amable, la comunicación fue oportuna, el barrio era tranquilo y limpio, en primer lugar le agradecemos por permitirme usar la lavadora para lavar mi ropa, en segundo lugar está en una ubicación estupenda, cerca de la estación de metro, supermercado.También hay nevera donde se puede cocinar en la cocina.Y cuidadosamente preparado todos los artículos de tocador e incluso pasta de dientes proporcionados.¡Es una casa muy agradable y la recomiendo a todos!'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 2 semanas', 'review': 'Un lugar para pasar la noche'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 2 semanas', 'review': 'Mario siempre respondió rápidamente, el lugar está bastante cerca del centro de la ciudad solo tienes que subirte al metro,el piso y la habitación eran los mismos que se describía.Gracias'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 2 semanas', 'review': 'buen lugar según el precio, la entrada era un poco extraña, la cocina estaba desordenada (el refrigerador sucio), zonas comunes muy desordenadas y había mucho olor a colonia en la pieza. Fuera de eso cumplía muy bien. La comunicación con Mario muy buena'}]",,,
¡Habitación privada cerca de las Ramblas! SOLO UNA PERSONA!!!,40 € ,"4,78 (36)","['Secador de pelo', 'Agua caliente', 'Gel de ducha', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa', 'Aire acondicionado centralizado', 'Calefacción central', 'Wifi', 'Cocina', 'Apto para fumadores', 'No disponible: Cerradura en la puerta del dormitorio', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']","['Anfitrión particular', 'Número de registro: Exempt']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Alex fue un anfitrión cálido y amable que me hizo sentir como en casa durante mi estancia. Era muy considerado con la privacidad y siempre estaba disponible cada vez que tenía una pregunta o necesitaba ayuda. ¡5 estrellas para mí!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Justo en el centro de la ciudad y fácilmente accesible a pie a todos los puntos de interés turístico, pero con un ambiente tranquilo y hogareño local. Los anfitriones fueron amables y más que complacientes con mucha información y consejos sobre la zona y tenían todo lo que necesitaba para mi estancia.Recomiendo a todo el que quiera un lugar de calidad y asequible para alojarse en el centro de la ciudad'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Apartamento idealmente situado cerca de las Ramblas, pero tranquilo. Aleix es un anfitrión encantador dispuesto a dar buena información para visitar Barcelona.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Buena estancia en casa de Aleix, muy bien situado cerca de Las Ramblas.Hay dos habitaciones disponibles en su apartamento en Airbnb si alguna vez lo necesitas.Lo recomiendo si como yo desea pasar el día fuera. La habitación no es muy grande y la ventana de la habitación no da al exterior.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Gracias Aleix por hacerme sentir como en casa, fuiste muy amable.Ubicación conveniente para caminar o llegar a los lugares más importantes de la ciudad.'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · agosto de 2024', 'review': 'Aleix fue una anfitriona muy agradable para preguntar por todo lo necesario. Me lo pasé muy bien con él en Barcelona! ¡Gracias de nuevo por eso!'}]",,,
Barco Clásico encantador,59 € ,"4,81 (80)","['Secador de pelo', 'Productos de limpieza', 'Champú', 'Ducha exterior', 'Agua caliente', 'Lavadora en el edificio (De pago)', 'Secadora en el edificio (De pago)', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Mosquitera', 'Espacio para guardar la ropa: armario', 'Cine', 'Rampa de skate', 'Ventiladores portátiles', 'Calefacción', 'Detector de humo', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Botiquín', 'Wifi', 'Zona para trabajar', 'Cocina', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Frigorífico mini', 'Congelador', 'Hervidor de agua', 'Cafetera', 'Mesa de comedor', 'Café', 'Costa', 'Acceso a la playa, primera línea', 'Lavandería cercana', 'Patio privado o balcón', 'Patio trasero', 'Mobiliario exterior', 'Comedor al aire libre', 'Atracadero para barcos', 'Aparcamiento gratuito en las instalaciones', 'Aparcamiento gratuito en la calle', 'Aparcamiento de pago en las instalaciones', 'Se permite dejar el equipaje', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Aire acondicionado']",['Anfitrión particular'],,"[{'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 1 semana', 'review': 'Disfrutamos mucho de la estancia. Es espartano y no se puede cocinar, pero fue, al contrario de otras evaluaciones, casi siempre bastante tranquilo. Las duchas estuvieron cerradas durante un día y medio. Eso fue desagradable.Pero ya echo de menos el bollo.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': '¡Maravillosa estancia y gran aventura para una primera en un barco! 🙏'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Pintoresco barco situado en las partes exteriores de Barcelona. Roland fue muy receptivo y acogedor.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Roland fue amable y servicial, se hizo un pequeño problema rápidamente y para mi completa satisfacción. Su consejo sobre un restaurante era genial.La ubicación del lugar era perfecta para mí.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Un lugar muy bonito y acogedor, el chico que nos hizo la entrada muy amable y simpatico. Muy recomendable'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · octubre de 2024', 'review': 'El barco de Roland es una joya perfecta. Hay restaurantes encantadores y una playa cerca, y un supermercado y duchas. Mi hijo y yo pasamos un encantador fin de semana de cumpleaños explorando Barcelona y relajándonos en el barco. Muchas gracias.'}]",,,
Habitación privada BCN en un apartamento céntrico,49 € ,Nuevo,"['Lavadora', 'Cerradura en la puerta del dormitorio', 'Detector de humo', 'Detector de monóxido de carbono', 'Wifi', 'Cocina', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Aire acondicionado', 'No disponible: Secador de pelo', 'No disponible: Servicios básicos', 'No disponible: Champú', 'No disponible: Entrada independiente', 'No disponible: Calefacción']","['Anfitrión particular', 'Número de registro: HUTB-102348']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Buen piso en el centro de Barcelona. Fue fácil de comunicarse con Marcos. El piso estaba muy limpio y siempre ordenando. Sobre todo fue genial. Lo recomiendo!'}]",,,
Acogedora habitación individual en el barrio gótico,52 € ,Nuevo,"['Secador de pelo', 'Gel de ducha', 'Agua caliente', 'Perchas', 'Ropa de cama', 'Plancha', 'Aire acondicionado', 'Wifi', 'Cocina', 'Platos y cubiertos', 'Cafetera', 'Ascensor', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Servicios básicos', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Calefacción']","['Anfitrión particular', 'Número de registro: Exempt']",,[],,,
Acogedor dormitorio de 6 plazas,30 € ,"4,37 (121)","['Secador de pelo', 'Agua caliente', 'Lavadora en el edificio (De pago)', 'Servicios básicos', 'TV', 'Libros y material de lectura', 'Juegos de mesa', 'Aire acondicionado centralizado', 'Calefacción', 'Cámaras de seguridad en los exteriores de la propiedad', 'Detector de humo', 'Detector de monóxido de carbono', 'Botiquín', 'Wifi', 'Zona para trabajar', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Tostadora', 'Lavandería cercana', 'No disponible: Champú']","['Anfitrión profesional', 'Número de registro: AJ000486']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · octubre de 2024', 'review': 'agradable estancia y personal amable'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'ha sido una estancia agradable'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Registro de entrada sencillo'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · septiembre de 2024', 'review': 'El hostal estaba conectado a un edificio residencial internamente y toda la configuración era demasiado costosa para el espacio'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Acogedor y bonito hostal'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Me gustó mucho la ubicación y la atención y la limpieza'}]",,,
Habitación + Estudio en el centro de Barcelona,47 € ,"4,25 (4)","['Agua caliente', 'Lavadora en el alojamiento (Gratis)', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Espacio para guardar la ropa: armario', 'Televisión de alta definición con canales por cable premium', 'Tocadiscos', 'Libros y material de lectura', 'Platos y cubiertos para niños', 'Aire acondicionado portátil', 'Calefactor portátil', 'Wifi', 'Zona para trabajar', 'Cocina', 'Frigorífico', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Batidora', 'Patio o balcón', 'Admite mascotas', 'Apto para fumadores', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: Secadora', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']",['Anfitrión particular'],,"[{'rating': 'Valoración: 2\xa0estrellas', 'date': 'Valoración: 2\xa0estrellas,  · abril de 2024', 'review': 'Es diferente a las fotos y huele mucho cigarrillos'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · enero de 2024', 'review': 'El anfitrión es el mejor 👍👍👍'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · junio de 2023', 'review': 'Todo fue perfecto, ¡gracias!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · abril de 2023', 'review': 'Perfecto.'}]",,,
Apartamento SAGRADA FAMILIA - free WIFI - NETFLIX,126 € ,"4,36 (559)","['Secador de pelo', 'Lavadora', 'Secadora', 'Servicios básicos', 'Perchas', 'Plancha', 'TV', 'Aire acondicionado', 'Calefacción', 'Wifi', 'Cocina', 'Platos y cubiertos', 'Ascensor', 'Admite mascotas', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Agua caliente']","['Anfitrión particular', 'Número de registro: HUTB-010017']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Excelente lugar para quedarse! Cerca de todo y muy cómodo. Sin dudas volvería a hospedarme aquí!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': '«Recomiendo encarecidamente este alojamiento». El apartamento está limpio, en buen estado y se puede sentir como en casa. La vecindad es muy tranquila y silenciosa. Puedes relajarte y dormir después de un día de visitas turísticas. Hay muchos comercios y restaurantes cerca. Muy cerca de la Sagrada Familia, a unos 15 min caminando. Cerca del Hospital San Pau. Barcelona nos ha encantado. Si alguna vez vuelvo, me encantaría volver a utilizar esta oferta.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Recomiendo este alojamiento. Muy contenta con mi estancia'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': '¡Alojamiento encantador muy limpio! ¡Volvería a quedarme!'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · septiembre de 2024', 'review': 'Fue tranquilo y en una buena ubicación. Lamentablemente, el baño no tenía papel higiénico cuando llegué, así que tuve que ir a buscarlo por el lugar. Además, el wifi no funcionaba. El A/C funcionó bien y había buena luz natural en el apartamento. No tuve noticias del anfitrión cuando necesitaba ayuda con el wifi.'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · septiembre de 2024', 'review': 'alojamiento un poco anticuado cuarto de baño que merecería un refresco.  sin secador de pelopelopor el resto perfecto'}]",,,
Precioso y acogedor dormitorio en el centro de la ciudad de Barcelona,38 € ,"4,76 (268)","['Secador de pelo', 'Champú', 'Agua caliente', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Plancha', 'Botiquín', 'Wifi', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Fogón', 'Horno', 'Cafetera', 'Costa', 'Patio o balcón', 'Disponible para estancias largas', 'No disponible: Cerradura en la puerta del dormitorio', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Aire acondicionado', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Calefacción']","['Anfitrión particular', 'Número de registro: Exempt']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1\xa0día', 'review': 'Ezequiel es extremadamente amable y flexible. Desde mi llegada, enseguida me sentí muy a gusto. El piso impecable, todo limpio y el mobiliario es de calidad. La habitación es pequeña pero para una estancia corta no necesitaba más. No he encontrado nada mejor a nivel de calidad-precio en Barcelona. Mención especial por la ubicación que es perfecta para visitar los principales monumentos de Barcelona. Lo he visitado casi todo a pie.  El apartamento está a 5 minutos andando de la ramblas. No puedo más que recomendar encarecidamente este lugar si estás de paso por Barcelona. Para las chicas que viajan sola como yo no tengas ningún miedo Ezequiel es adorable y te hará sentir muy cómodo. ¡Un inmenso agradecimiento a Ezequiel por su bienvenida, así como sus recomendaciones!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 4\xa0días', 'review': 'El departamento es increíble, lleno de buena vibra, en excelente ubicación! Perfecto lugar para llegar a dormir tranquila y todo caminable. Ezequiel es una persona súper amable, muy interesante y un host increíble! 100% recomendado 😀'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 6\xa0días', 'review': 'Anfitrión amable, departamento limpio, excelente ubicación.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Quedarme en casa de Ezequiel me hizo sentir como si fuera yo el que vivía en España. Pude cocinar, pasar el rato en la sala y, por todas partes, me sentí muy bienvenido en el espacio. La obra de arte hace que el espacio se sienta muy creativo, y la proximidad a casi todas las principales atracciones de Barcelona era casi demasiado buena para ser verdad. Un espacio muy acogedor de hecho. Aunque el dormitorio se humedecía bastante, el ventilador proporcionado era un salvavidas. Dormí bastante bien durante toda la estancia. Volvería a quedarme aquí fácilmente si alguna vez vuelvo a la ciudad.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Ezequiel es un anfitrión excepcional. Me gustó su naturaleza servicial. Es un anfitrión amable y atento. También es genial y tiene su alojamiento limpio. Mi estancia fue muy corta. Me pareció todo perfecto. Dormí bien y fue silencioso y pacífico. Gracias.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'La casa de Ezekiel estaba muy bien ubicada, se podía caminar a muchas zonas, cafeterías, cerca del transporte público y el servicio de traslado al aeropuerto, etc. Fue comunicativo y se aseguró de que alguien estuviera allí para reunirse conmigo cuando no podía estar allí, y ese amigo fue encantador y servicial tanto como él. La habitación individual es pequeña, pero cómoda, y con la interesante obra de arte de Ezekial que le da al espacio mucha personalidad. No había ventanas, pero sorprendentemente fue muy agradable porque dormí muy bien después de una larga jornada de viaje. Hay otra habitación en alquiler y también fue agradable conocer a otros viajeros. Sin duda volvería a hospedarme si estuviera de vuelta en Barcelona.'}]",,,
"Pequeño loft ,junto a la montaña.",44 € ,"4,82 (543)","['Vistas al jardín', 'Bañera', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Lavadora en el edificio (Gratis)', 'Servicios básicos', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Mosquitera', 'Espacio para guardar la ropa: armario', 'TV', 'Libros y material de lectura', 'Cuna: disponible previa solicitud', 'Parque/cunas de viaje', 'Libros y juguetes para niños', 'Platos y cubiertos para niños', 'Seguros para ventanas', 'Juegos de mesa', 'Sistema de aire acondicionado sin conductos tipo split', 'Sistema de calefacción sin conductos tipo split', 'Detector de humo', 'Detector de monóxido de carbono', 'Wifi', 'Zona para trabajar', 'Cocina', 'Frigorífico de mininevera ikea', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Frigorífico mini', 'Cocina de gas de acero inoxidable', 'Hervidor de agua', 'Cafetera: Nespresso', 'Mesa de comedor', 'Café', 'Entrada independiente', 'Lavandería cercana', 'Patio o balcón compartido', 'Patio trasero privado: Con valla en todo el perímetro', 'Comedor al aire libre', 'Cocina exterior privada', 'Elementos básicos para la playa', 'Aparcamiento gratuito en la entrada dentro de la propiedad: 1 plaza', 'Aparcamiento gratuito en la calle', 'Alojamiento de una altura', 'Admite mascotas', 'Se permite dejar el equipaje', 'Apto para fumadores', 'Disponible para estancias largas', 'Llegada autónoma', 'Cerradura con teclado', 'No disponible: Secadora']",['Anfitrión particular'],,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2\xa0días', 'review': 'La habitación está ordenada, las instalaciones están totalmente equipadas y hay un pequeño patio, ¡buena relación calidad-precio!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 6\xa0días', 'review': '¡Excelente estancia! ¡Buena comunicación!Recomendado !!!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'el alojamiento de Carlos fue perfecto para nuestra necesidad. A 15 minutos del aeropuerto con horarios flexibles.incluso lamentamos no tener tiempo para disfrutar del bonito patio interior.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'Gracias Carlos! Bonito alquiler, bueno para 4 adultos, gran precio'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'gran bienvenida, Carlos se toma el tiempo para explicarnos los que hay que saber. Alojamiento que coincide con la descripción y limpio. solo pasamos una noche allí ya que volamos al día siguiente y la casa es más que suficiente y nivel de calidad - precio es lo mejor, situado a 18 minutos del aeropuerto.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'Carlos es una anfitriona muy amable. Siempre responde rápido y es muy flexible y servicial. Airbnb coincide exactamente con las fotos. Tuvimos una estancia fantástica. ¡Recomendable!'}]",,,
"Doble, a metros de Ramblas",60 € ,Nuevo,"['Aire acondicionado', 'Cerradura en la puerta del dormitorio', 'Botiquín', 'Wifi', 'Cocina', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Servicios básicos', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Calefacción', 'No disponible: Agua caliente']","['Anfitrión particular', 'Número de registro: Exempt']",,[],,,
Balcón privado para 2 personas cerca de la Sagrada Familia,45 € ,"4,91 (23)","['Secador de pelo', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Calefacción', 'Cerradura en la puerta del dormitorio', 'Wifi', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Horno', 'Patio privado o balcón', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Aire acondicionado', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']","['Anfitrión particular', 'Número de registro: Exempt']",,"[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Gracias! Estuvimos muy bien! ❤️bonita y acogedora habitación; ¡excelente ubicación!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Tuvimos una estancia agradable, el apartamento es muy limpio y acogedor, todo el mundo es educado, es tranquilo. También está en el lugar perfecto de Barcelona, no es un entorno demasiado ruidoso y seguro alrededor, pero también cerca de básicamente todo lo que querrías: muchas atracciones turísticas, lugares para comer, supermercados, metro, etc. ¡Recomiendo la estancia aquí al 100%!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 4 semanas', 'review': 'Probablemente el alojamiento compartido más limpio en el que me he alojado. Excelente opción económica dada la ubicación, buena caminabilidad a lugares de interés para aquellos a los que les gusta estar a pie. Como alternativa, las conexiones de transporte público son geniales. José David y Sandra son súper serviciales y muy receptivos, me sentí en buenas manos todo el tiempo. Recomendado para personas que viajan solas y parejas que buscan un alojamiento sin complicaciones.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Todo bien, muchas gracias.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · agosto de 2024', 'review': 'Buena hospitalidad. ¡Gracias!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · agosto de 2024', 'review': 'Estancia muy agradable Apartamento níquel de la A a la Z, a 10 minutos a pie del metro Girona que permite ir a la playa o a otro lugar. Tiendas de proximidad junto al alojamiento. Muy recomendable este alojamiento.'}]",,,
